source;power setting (%);power measured (μW)
561;0;0
561;1;0
561;1,1;0
561;1,2;0,01
561;1,3;0,02
561;1,4;0,03
561;1,5;0,03
561;1,6;0,04
561;1,7;0,04
561;1,8;0,04
561;1,9;0,05
561;2;0,05
561;2,1;0,05
561;2,2;0,06
561;2,3;0,07
561;2,4;0,1
561;2,5;0,13
561;2,6;0,19
561;2,7;0,27
561;2,8;0,39
561;2,9;0,5
561;3;0,51
561;4;0,61
561;5;0,71
561;6;0,84
561;7;0,97
561;8;1,13
561;9;1,3
561;10;1,48
561;15;2,66
561;20;3,85
561;25;4,79
561;30;5,8
561;35;6,85
561;40;7,93
561;45;9,04
561;50;10,1
561;55;11,2
561;60;12,2
561;65;13,2
561;70;14,2
561;75;15,1
561;80;16
561;85;16,8
561;90;17,6
561;95;18,2
561;100;19,1
775 @1,2W;0,1;0
775 @1,2W;0,2;0
775 @1,2W;0,3;3,4
775 @1,2W;0,4;33,6
775 @1,2W;0,5;117
775 @1,2W;0,6;269
775 @1,2W;0,7;498
775 @1,2W;0,8;716
775 @1,2W;0,9;769
775 @1,2W;1;824
775 @1,2W;1,1;881
775 @1,2W;1,2;941
775 @1,2W;1,3;1000
775 @1,2W;1,4;1070
775 @1,2W;1,5;1130
775 @1,2W;1,6;1200
775 @1,2W;1,7;1270
775 @1,2W;1,8;1340
775 @1,2W;1,9;1420
775 @1,2W;2;1490
775 @1,2W;3;2380
775 @1,2W;4;3480
775 @1,2W;5;4540
775 @1,2W;6;5260
775 @1,2W;7;6040
775 @1,2W;8;6880
775 @1,2W;9;7770
775 @1,2W;10;8710
775 @1,2W;20;18200
775 @1,2W;30;27500
775 @1,2W;40;37200
775 @1,2W;50;46900
775 @1,2W;60;55800
775 @1,2W;70;64000
775 @1,2W;80;70800
775 @1,2W;90;76900
775 @1,2W;100;81300
775 @0.6W;1;400
775 @0.6W;10;4310
775 @0.6W;30;13600
775 @0.6W;100;45900
775 @55mW;0,1;0
775 @55mW;0,2;0
775 @55mW;0,3;0
775 @55mW;0,4;0
775 @55mW;0,5;0
775 @55mW;0,6;0
775 @55mW;0,7;9,7
775 @55mW;1;23,6
775 @55mW;100;3850
775 @0.6W Gaussian;10;4370
775 @0.6W Gaussian;30;13700
775 @0.6W Gaussian;100;46100
640;0;0
640;0,1;0
640;0,2;0,05
640;0,3;0,21
640;0,4;0,27
640;0,5;0,36
640;0,6;0,42
640;0,7;0,45
640;0,8;0,48
640;0,9;0,51
640;1;0,54
640;1,1;0,57
640;1,2;0,6
640;1,3;0,63
640;1,4;0,66
640;1,5;0,7
640;1,6;0,73
640;1,7;0,77
640;1,8;0,8
640;1,9;0,83
640;2;0,87
640;3;1,47
640;4;1,76
640;5;1,87
640;6;2,06
640;7;2,28
640;8;2,5
640;9;2,75
640;10;3
640;20;7,7
640;30;11,3
640;40;14,8
640;50;18,3
640;60;23,1
640;70;27,1
640;80;30
640;90;32,7
640;100;34,5
